State\Action,U,D,L,R
"(0, 1, 1)",-62.7845,-53.3463,-57.6098,-10.2913
"(0, 1, 2)",-55.7403,-50.9988,-39.7624,-0.4444
"(0, 1, 3)",-100.7709,-4.0717,-81.9416,-64.6096
"(0, 1, 4)",-111.9100,-63.9711,-39.2496,-112.1555
"(0, 1, 5)",-154.5399,-35.9296,-78.2455,-113.6379
"(0, 2, 1)",-29.5018,-68.0358,-62.8373,-65.3027
"(0, 2, 2)",-46.4305,-59.3283,-39.9815,-63.4860
"(0, 2, 3)",-59.8131,-39.3291,-78.0648,-69.0683
"(0, 2, 4)",-60.5521,17.3622,-102.9728,-81.7755
"(0, 2, 5)",-67.8163,43.9652,-33.1406,-35.8763
"(0, 3, 1)",-57.6880,-37.3771,-31.6401,23.1045
"(0, 3, 2)",-35.9218,8.8603,2.2433,-41.9192
"(0, 3, 3)",-61.7801,-19.6430,-14.5166,-22.0227
"(0, 3, 4)",-30.7964,38.5705,-24.0232,64.5854
"(0, 3, 5)",23.6418,77.0094,35.5262,50.9556
"(0, 4, 1)",8.8703,-0.9695,-115.8975,-13.2687
"(0, 4, 2)",-16.0817,50.2279,-16.7056,28.3946
"(0, 4, 3)",11.5032,50.4754,49.1856,75.3391
"(0, 4, 4)",67.9079,68.7719,50.3728,82.5177
"(0, 5, 1)",17.4248,6.3076,19.7072,63.1612
"(0, 5, 2)",42.2204,38.9289,26.3825,59.5400
"(0, 5, 3)",66.1168,56.7154,21.0933,61.9313
"(0, 5, 4)",75.7896,23.8486,22.7317,31.3204
"(0, 5, 5)",70.7434,-103.5185,-99.7326,-70.6437
"(1, 1, 1)",13.9967,54.9250,31.3522,22.0311
"(1, 1, 2)",15.4640,41.2684,45.2472,40.7576
"(1, 1, 3)",21.6566,23.6715,60.2270,19.5482
"(1, 1, 4)",18.2162,19.3990,22.5423,-120.0325
"(1, 1, 5)",-238.3659,-37.9113,-166.0548,-253.6559
"(1, 2, 1)",9.6754,20.6828,17.7993,60.9222
"(1, 2, 3)",52.9597,51.4027,74.3055,40.9163
"(1, 2, 4)",16.4732,61.5219,7.2371,-14.2278
"(1, 2, 5)",-93.1076,42.5713,-50.2694,-152.7088
"(1, 3, 1)",2.7819,-143.1492,-10.6212,52.2970
"(1, 3, 2)",64.9234,30.6740,14.7355,54.7566
"(1, 3, 3)",69.1665,48.8670,62.4520,59.1322
"(1, 3, 4)",58.0362,53.7765,59.4509,42.6439
"(1, 3, 5)",17.5101,-18.4390,52.1735,-9.9526
"(1, 4, 1)",-125.3021,-105.0713,-169.9716,6.3861
"(1, 4, 2)",45.3801,-26.3148,1.6565,46.9986
"(1, 4, 3)",58.5572,14.8042,44.7792,39.5720
"(1, 4, 4)",47.4052,40.2019,48.3859,0.4727
"(1, 4, 5)",28.9049,33.0797,41.2143,28.4055
"(1, 5, 1)",-63.6273,-57.1578,-56.6139,-7.9671
"(1, 5, 2)",21.2036,-36.8690,-22.7816,-40.0258
"(1, 5, 3)",36.2011,3.4220,39.5307,-6.7545
"(1, 5, 4)",-1.3399,-26.9669,44.5357,-17.0864
"(1, 5, 5)",23.7885,-135.7248,3.7884,-37.3671
"(2, 1, 1)",-16.3595,29.1777,-20.5446,34.2231
"(2, 1, 2)",-0.4223,29.9981,32.4006,12.5956
"(2, 1, 3)",-60.5628,21.1516,-31.3258,-88.8754
"(2, 1, 4)",-120.8346,-95.4560,-28.1989,-134.0922
"(2, 1, 5)",-110.6518,-134.1775,-85.8387,-116.7360
"(2, 2, 1)",37.6123,52.6743,34.2510,40.4942
"(2, 2, 2)",40.1659,42.6975,49.6504,41.7735
"(2, 2, 3)",14.5185,10.9050,42.5052,14.1024
"(2, 2, 4)",-36.3679,-8.6679,-33.7885,-74.7010
"(2, 2, 5)",-118.8671,-47.7864,-94.6577,-93.7592
"(2, 3, 1)",45.2640,56.4607,42.3346,44.8199
"(2, 3, 2)",7.1334,40.9699,49.9637,33.6958
"(2, 3, 3)",3.9943,-38.6817,42.1319,-64.6179
"(2, 3, 4)",-34.6716,-33.9565,-7.3752,-48.4971
"(2, 3, 5)",-79.4258,-54.5080,-7.0314,-41.5181
"(2, 4, 2)",2.3250,11.3139,53.0871,-30.0581
"(2, 4, 3)",-55.2071,-78.7951,20.4944,-61.3913
"(2, 4, 4)",-65.5814,-79.6243,-14.9319,-81.4004
"(2, 4, 5)",-56.7301,-91.5018,-60.4048,-74.7574
"(2, 5, 1)",41.0118,-25.4952,-25.7985,-19.2472
"(2, 5, 2)",-28.9487,-30.6619,14.9490,-34.5447
"(2, 5, 3)",-41.1514,-29.9608,-32.0408,-55.0627
"(2, 5, 4)",-65.3624,-69.7254,-20.8646,-92.2529
"(2, 5, 5)",-36.6839,-110.3263,-78.5282,-63.1844
"(3, 1, 1)",-26.1773,-9.8108,-20.0237,0.5489
"(3, 1, 2)",-7.2515,6.7281,-2.3408,-39.1273
"(3, 1, 3)",-6.2144,14.5577,-34.5502,-38.3553
"(3, 1, 4)",-16.6101,-12.1114,7.0105,-41.2278
"(3, 1, 5)",-41.3782,-3.4496,-8.4529,-38.5154
"(3, 2, 1)",-6.3056,13.5724,-1.7179,2.7772
"(3, 2, 2)",6.0511,20.6333,0.1652,-0.9764
"(3, 2, 3)",-20.1756,-6.4869,7.8141,18.4762
"(3, 2, 4)",-9.1683,28.4253,13.6054,6.6045
"(3, 2, 5)",-24.2985,-1.2004,25.7853,-7.8468
"(3, 3, 1)",15.9260,14.8893,-8.7456,22.3247
"(3, 3, 2)",13.7282,18.6465,16.0771,25.8758
"(3, 3, 3)",21.7603,24.1768,13.7666,30.7777
"(3, 3, 4)",27.5459,36.5887,15.6759,24.3408
"(3, 3, 5)",-3.4914,18.7278,23.2114,13.7255
"(3, 4, 1)",23.6856,30.3948,22.8413,25.8424
"(3, 4, 2)",21.7615,22.6882,20.0062,30.7495
"(3, 4, 3)",25.2624,34.0668,25.8725,33.4889
"(3, 4, 4)",32.1799,40.7861,32.4865,36.8440
"(3, 4, 5)",15.3193,42.0137,32.2029,32.0850
"(3, 5, 1)",26.9213,25.6579,22.9100,30.4884
"(3, 5, 2)",28.0320,14.6375,24.7798,32.4071
"(3, 5, 3)",35.3389,18.1458,21.3222,34.4483
"(3, 5, 4)",36.9929,39.5472,35.5435,43.9885
"(4, 1, 1)",-14.1607,-2.2931,-2.6515,-1.1496
"(4, 1, 2)",-3.9244,-11.9021,-4.5379,-2.1249
"(4, 1, 3)",7.4101,16.0336,-8.5604,8.3923
"(4, 1, 4)",17.0976,15.2665,12.4142,17.1875
"(4, 2, 1)",-17.2839,-13.2038,-13.7286,8.4544
"(4, 2, 2)",-0.0481,-5.1628,-3.6028,15.8350
"(4, 2, 3)",14.5570,12.9531,10.6499,14.6088
"(4, 2, 4)",18.7636,18.8944,18.2984,23.0205
"(4, 2, 5)",25.0000,21.1212,21.2685,23.0995
"(4, 3, 1)",-13.3140,-18.8598,-1.9478,-1.2544
"(4, 3, 2)",-2.1973,4.9114,-3.1402,4.3513
"(4, 3, 3)",6.8238,11.4035,10.7149,14.8088
"(4, 3, 4)",20.6014,15.4749,15.5388,20.7697
"(4, 3, 5)",22.9080,19.4085,19.4479,17.8985
"(4, 4, 1)",-15.1702,-2.8485,-16.9829,-5.1420
"(4, 4, 2)",1.9625,-1.3374,-18.3151,12.6798
"(4, 4, 3)",11.6033,5.5264,3.7976,12.5254
"(4, 4, 4)",18.6575,13.1222,12.3929,16.0826
"(4, 4, 5)",21.1362,16.7103,17.1675,17.7427
"(4, 5, 1)",-5.6715,1.1077,0.4985,3.7246
"(4, 5, 2)",10.9219,1.1028,-3.2686,6.5393
"(4, 5, 3)",9.7011,4.5115,5.9425,10.0277
"(4, 5, 4)",13.3508,3.7564,11.5536,14.8768
"(4, 5, 5)",19.2676,16.6477,15.7184,15.1637
"(5, 1, 5)",0.0000,0.0000,0.0000,0.0000
