ñ,U,D,L,R,Step
"(0, 1, 1)",-0.3925,-0.6987,-0.5422,-0.5573,
"(0, 1, 2)",-0.4531,-3.0037,-0.5632,-0.4096,
"(0, 1, 3)",-0.1643,-0.2420,-0.3490,-0.3322,
"(0, 1, 4)",-0.1420,-0.2896,-0.1874,-1.2853,
"(0, 1, 5)",-0.7519,-0.1330,-0.0940,-0.7574,
"(0, 2, 1)",-0.6924,-0.7992,-0.8118,-3.0041,
"(0, 2, 2)",-0.3017,-0.3492,-0.3004,-0.3000,
"(0, 2, 3)",-0.3064,-0.2185,-3.0000,-0.3269,
"(0, 2, 4)",-0.1416,-0.3094,-0.3106,-0.2982,
"(0, 2, 5)",-0.9513,-0.1425,-0.1300,-0.0952,
"(0, 3, 1)",-0.8458,-3.0001,-0.7938,-0.7671,
"(0, 3, 2)",-3.0000,14.7898,-0.8079,11.7333,
"(0, 3, 3)",-0.3269,23.4903,-0.3614,-0.1478,
"(0, 3, 4)",-0.3066,0.7018,0.8527,21.4685,
"(0, 3, 5)",-0.0833,52.4295,0.1392,-0.0468,
"(0, 4, 1)",-0.5521,35.4694,-3.0000,0.3015,
"(0, 5, 1)",-3.6921,30.3965,24.8763,94.8739,1
"(0, 5, 2)",77.7747,20.8123,13.3312,26.5210,2
"(0, 4, 2)",2.5009,18.1903,-0.1432,77.5683,3
"(0, 4, 3)",11.3184,9.3015,21.5023,97.2691,4
"(0, 4, 4)",4.6335,6.1713,7.2323,102.8677,5
"(0, 5, 3)",52.3202,7.7263,8.6400,11.8394,
"(0, 5, 4)",33.0206,0.8731,8.0913,-2.6107,
"(0, 5, 5)",5.7712,-0.2696,-0.2214,-2.9901,
"(1, 1, 1)",-0.0001,-0.0094,-0.0001,-0.1491,
"(1, 1, 2)",-0.1648,14.8876,-0.0094,-0.1548,
"(1, 1, 3)",-0.2814,11.0305,-0.2436,-0.3005,
"(1, 1, 4)",-0.4936,-0.0926,1.2642,-2.9969,
"(1, 1, 5)",-1.0749,-0.2177,-0.2888,-1.4970,
"(1, 2, 1)",-0.1501,-0.0469,-0.1500,0.2443,
"(1, 2, 3)",1.9069,12.8226,63.4539,3.3418,
"(1, 2, 4)",-0.5035,-0.2937,36.7665,0.1463,
"(1, 2, 5)",-3.0296,0.1032,6.8208,-0.7191,
"(1, 3, 1)",-0.1974,-1.8569,-0.1808,18.7376,
"(1, 4, 5)",10.7015,-4.4044,67.0422,16.5114,6
"(1, 4, 4)",8.3504,-1.1786,63.9705,23.1412,7
"(1, 3, 4)",19.4917,-0.6879,14.4078,2.5216,
"(1, 3, 5)",1.3755,4.2862,12.4169,1.7667,
"(1, 4, 1)",-0.2613,-0.2341,-1.4824,5.9486,
"(1, 4, 2)",25.0177,-0.5550,-3.5133,-0.4707,
"(1, 4, 3)",47.7164,8.7544,20.6007,0.7421,8
"(1, 3, 3)",9.2999,12.7006,71.5267,2.3193,9
