,U,D,L,R
"(0, 1, 1)",-0.511,-0.318,-0.333,-0.490
"(0, 1, 2)",-0.371,-1.496,-0.270,-0.466
"(0, 1, 3)",-0.209,-0.420,-0.248,-0.408
"(0, 1, 4)",-0.234,-0.435,-0.200,-2.997
"(0, 1, 5)",-3.705,-0.291,-0.312,-3.048
"(0, 2, 1)",-0.522,-0.520,-0.498,-1.514
"(0, 2, 2)",-0.152,-0.312,-0.166,-0.281
"(0, 2, 3)",-0.404,-0.428,-2.811,-0.301
"(0, 2, 4)",-0.215,-0.244,-0.222,-0.389
"(0, 2, 5)",-2.880,-0.272,-0.222,-0.128
"(0, 3, 1)",-0.634,-2.999,-0.799,-0.532
"(0, 3, 2)",-3.000,7.174,-0.573,2.582
"(0, 3, 3)",-0.513,9.794,-0.294,15.195
"(0, 3, 4)",-0.227,3.531,-0.262,29.854
"(0, 3, 5)",-0.083,57.506,-0.160,-0.079
"(0, 4, 1)",-0.573,-0.062,-3.423,9.223
"(0, 4, 2)",0.485,1.546,-2.333,21.704
"(0, 4, 3)",10.868,0.700,5.247,39.407
"(0, 4, 4)",0.209,27.026,4.968,98.935
"(0, 5, 1)",-4.333,27.594,31.811,89.664
"(0, 5, 2)",17.456,22.019,22.422,74.768
"(0, 5, 3)",12.251,34.792,0.898,73.446
"(0, 5, 4)",85.330,26.017,22.996,2.168
"(0, 5, 5)",40.644,-3.304,-0.066,-1.300
"(1, 1, 1)",-0.068,0.000,-0.113,-0.117
"(1, 1, 2)",-0.309,11.370,-0.005,-0.148
"(1, 1, 3)",-0.245,0.666,0.234,-0.155
"(1, 1, 4)",-0.501,-0.332,-0.366,-2.598
"(1, 1, 5)",-3.924,-0.285,-0.300,-3.125
"(1, 2, 1)",-0.113,-0.150,-0.152,0.256
"(1, 2, 3)",-0.143,19.252,72.236,5.408
"(1, 2, 4)",-0.461,4.132,36.809,0.583
"(1, 2, 5)",-3.000,-0.926,1.810,-0.898
"(1, 3, 1)",-0.265,-1.182,-0.068,1.605
"(1, 3, 2)",39.751,5.674,0.135,10.081
"(1, 3, 3)",50.117,7.737,18.276,9.811
"(1, 3, 4)",12.412,1.610,49.467,0.442
"(1, 3, 5)",0.148,-0.558,18.051,0.008
"(1, 4, 1)",0.058,-0.147,-1.509,-0.153
"(1, 4, 2)",16.695,-0.247,-2.935,-0.011
"(1, 4, 3)",61.621,2.772,4.333,3.608
"(1, 4, 4)",24.889,-0.796,59.131,11.150
"(1, 4, 5)",5.975,-4.607,72.024,24.941
"(1, 5, 1)",-1.477,-0.326,-0.385,-0.368
"(1, 5, 2)",-0.269,-0.360,-0.340,-0.475
"(1, 5, 3)",25.565,-0.695,-0.620,0.331
"(1, 5, 4)",4.653,-0.951,5.016,-3.000
