State\Action,U,D,L,R
"(0, 1, 1)",-0.059,-1.755,-2.094,-0.513
"(0, 1, 2)",-0.245,-0.293,-0.057,-2.047
"(0, 1, 3)",-2.128,-1.783,-1.836,-1.650
"(0, 1, 4)",-0.022,-0.386,-1.595,-3.862
"(0, 1, 5)",-5.811,-1.811,-1.501,-3.473
"(0, 2, 1)",-1.962,-6.707,-2.538,-1.389
"(0, 2, 2)",0.069,4.018,-1.685,-2.084
"(0, 2, 3)",-1.292,-5.463,0.289,-0.549
"(0, 2, 4)",-2.608,0.485,-1.315,4.277
"(0, 2, 5)",-2.630,17.972,-0.211,-0.282
"(0, 3, 1)",-5.843,-7.954,-8.151,1.105
"(0, 3, 2)",-2.452,23.020,0.317,7.774
"(0, 3, 3)",-1.793,20.673,-0.625,5.705
"(0, 3, 4)",1.384,4.201,0.679,20.097
"(0, 3, 5)",12.236,28.126,1.553,24.147
"(0, 4, 1)",-5.473,41.838,-6.719,-5.417
"(0, 4, 2)",25.364,16.972,4.699,51.606
"(0, 4, 3)",16.377,27.132,24.570,68.601
"(0, 4, 4)",9.411,19.494,35.607,89.513
"(0, 5, 1)",23.562,27.698,16.516,83.222
"(0, 5, 2)",52.000,1.180,13.960,52.916
"(0, 5, 3)",11.989,15.125,-0.558,70.109
"(0, 5, 4)",69.199,64.059,31.096,4.133
"(0, 5, 5)",0.899,-0.127,7.252,0.014
"(1, 1, 1)",1.746,1.306,1.465,3.570
"(1, 1, 2)",5.021,7.016,-0.896,4.063
"(1, 1, 3)",8.548,10.864,4.274,0.054
"(1, 1, 4)",0.000,6.434,0.028,-0.215
"(1, 1, 5)",0.457,0.193,4.904,1.961
"(1, 2, 1)",4.294,0.401,18.903,45.907
"(1, 2, 3)",8.527,5.762,52.111,16.009
"(1, 2, 4)",2.171,9.305,37.773,8.907
"(1, 2, 5)",2.026,7.570,18.294,2.672
"(1, 3, 1)",44.328,0.214,19.520,0.031
"(1, 3, 2)",44.588,7.862,43.405,2.906
"(1, 3, 3)",26.007,39.742,31.941,9.852
"(1, 3, 4)",30.764,18.856,53.901,14.152
"(1, 3, 5)",16.245,20.413,48.529,9.335
"(1, 4, 1)",1.132,2.055,-0.102,4.416
"(1, 4, 2)",46.797,13.236,-1.954,8.883
"(1, 4, 3)",35.963,10.240,34.651,-2.750
"(1, 4, 4)",51.819,11.542,5.907,4.847
"(1, 4, 5)",44.266,7.202,47.221,27.967
"(1, 5, 1)",3.251,0.865,1.196,0.148
"(1, 5, 2)",-0.288,6.001,1.215,16.108
"(1, 5, 3)",9.679,4.925,1.277,22.998
"(1, 5, 4)",30.114,-2.666,17.011,-5.462
"(1, 5, 5)",12.174,-5.998,4.772,2.123
"(2, 1, 1)",3.452,5.525,0.605,5.301
"(2, 1, 2)",36.192,24.653,8.554,-0.452
