,U,D,L,R
"(0, 1, 1)",-0.3925488997860809,-0.698735407347832,-0.5421893698990723,-0.5573292788085937
"(0, 1, 2)",-0.4531210789489746,-3.00366498046875,-0.5631817820517993,-0.4095741175038895
"(0, 1, 3)",-0.16426450142211912,-0.2419750495880127,-0.3489827471879189,-0.3321581327146912
"(0, 1, 4)",-0.1419985565597534,-0.2896290609741211,-0.1873878147628784,-1.2852802276611328
"(0, 1, 5)",-0.7518997192382812,-0.13297934875488282,-0.09398663635253907,-0.7573986053466797
"(0, 2, 1)",-0.6923741391355133,-0.7991529379029281,-0.8118444230120361,-3.0041015625
"(0, 2, 2)",-0.3017291015625,-0.34924863281249996,-0.30041015625,-0.3000013595581055
"(0, 2, 3)",-0.3063773734313965,-0.21846695064061106,-3.0,-0.3269365768432617
"(0, 2, 4)",-0.14161907958984377,-0.3094396293640137,-0.31061497562713625,-0.2981930374145507
"(0, 2, 5)",-0.9513015747070312,-0.14252040025634766,-0.13001788712768553,-0.09520511627197265
"(0, 3, 1)",-0.845810146774292,-3.00008701171875,-0.7938223655550659,-0.7670974628769194
"(0, 3, 2)",-3.0,14.78977512218585,-0.8078524071684265,11.733262764791638
"(0, 3, 3)",-0.3269421237945557,23.49028952851884,-0.36136704559247224,-0.14776956603499194
"(0, 3, 4)",-0.30661404418945315,0.7017564143260853,0.8526662783649691,21.468512796585742
"(0, 3, 5)",-0.08326549530029297,52.4295341957091,0.13924545406975747,-0.04676628112792969
"(0, 4, 1)",-0.5521369947106933,35.469395177555995,-3.0,0.3014699203504836
"(0, 4, 2)",2.500871856884235,18.19029536021272,-0.1432190851587576,77.56830528988039
"(0, 4, 3)",11.31835873497165,9.301544860595742,21.502308396588838,97.26909655300838
"(0, 4, 4)",4.633497858655142,6.171343651628039,7.232349989664534,102.86771830306708
"(0, 5, 1)",-3.692112721940474,30.396451954200273,24.876337494895918,94.87392075973015
"(0, 5, 2)",77.77470639681043,20.812316113430377,13.331231045679171,26.52095526940075
"(0, 5, 3)",52.320190282103304,7.726262059750367,8.640024162752658,11.83942431442483
"(0, 5, 4)",33.02060517670062,0.8731054757738701,8.091289609236311,-2.6107095693142854
"(0, 5, 5)",5.771165996238349,-0.2696113586425781,-0.22136103572845459,-2.990072250366211
"(1, 1, 1)",-0.000146484375,-0.009375572204589844,-0.00014705657958984374,-0.14907175913085938
"(1, 1, 2)",-0.16483154296875,14.887632457421748,-0.009375,-0.15479007568359374
"(1, 1, 3)",-0.281368977355957,11.03048853477777,-0.24364013671874998,-0.300474242142573
"(1, 1, 4)",-0.49362829423828125,-0.09257211638736028,1.2642405463928763,-2.99688720703125
"(1, 1, 5)",-1.0749149322509766,-0.2177337402544543,-0.2887595379701771,-1.496978759765625
"(1, 2, 1)",-0.15014705657958985,-0.04692764282226562,-0.15,0.24429759853484098
"(1, 2, 3)",1.9068604456428544,12.822569293401317,63.453904166459395,3.341769572033954
"(1, 2, 4)",-0.5034978882704282,-0.29369336591892936,36.766539272317445,0.14632407835343336
"(1, 2, 5)",-3.0295810546875,0.1032448685821794,6.82075382352965,-0.7191027667418212
"(1, 3, 1)",-0.19744674682617186,-1.8568553924560547,-0.18077144622802732,18.73758096783494
"(1, 3, 2)",82.80923741143224,16.09723140364737,9.408402442499202,18.646393810744513
"(1, 3, 3)",9.299903398896003,12.700568117624385,71.52673477450574,2.3193362062995315
